"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.22689484057574e-13,0.0482430235830842,0.116,0.075,8.47640736722434e-09,"Adrenal Gland_All_GW14","SRSF2"
3.83886753810298e-13,0.0555616654094802,0.123,0.081,1.00839372490889e-08,"Adrenal Gland_All_GW14","NONO"
5.73044919462026e-13,0.0610895584011695,0.196,0.142,1.50527439444285e-08,"Adrenal Gland_All_GW14","PPP2R1A"
9.82693924219676e-13,-0.0919816417079026,0.103,0.156,2.58134040014024e-08,"Adrenal Gland_All_GW14","SQSTM1"
1.12753475650864e-12,-0.111041172135923,0.102,0.154,2.96180829839689e-08,"Adrenal Gland_All_GW14","PLD3"
3.5618791099051e-12,0.0504578282043904,0.116,0.076,9.35634404589872e-08,"Adrenal Gland_All_GW14","ERGIC3"
4.60341286400956e-12,0.0559164713255074,0.163,0.115,1.20922449111803e-07,"Adrenal Gland_All_GW14","MRFAP1"
7.8666169301165e-12,0.0463761106633357,0.137,0.094,2.066402935203e-07,"Adrenal Gland_All_GW14","TXN2"
8.52223529822518e-12,0.0703237992843263,0.172,0.124,2.23862076813779e-07,"Adrenal Gland_All_GW14","ANXA2"
1.54237386941273e-11,0.0458584383728833,0.112,0.074,4.05150768017337e-07,"Adrenal Gland_All_GW14","HNRNPA0"
1.77552915743978e-11,-0.0818285539478507,0.072,0.116,4.6639599907628e-07,"Adrenal Gland_All_GW14","TXNRD1"
1.9883909549991e-11,0.0245237966348927,0.163,0.116,5.22310536059164e-07,"Adrenal Gland_All_GW14","CSTB"
2.07961203718778e-11,-0.0989665574479122,0.1,0.149,5.46272489928487e-07,"Adrenal Gland_All_GW14","CALR"
2.20449820423089e-11,0.0428426347902187,0.123,0.084,5.79077588287369e-07,"Adrenal Gland_All_GW14","COPE"
3.28211765459861e-11,0.0351787272361246,0.147,0.103,8.62146665509964e-07,"Adrenal Gland_All_GW14","MC2R"
4.03634753108351e-11,0.0473643432085941,0.115,0.077,1.06026776946502e-06,"Adrenal Gland_All_GW14","KLHDC8B"
6.75494034333275e-11,0.044752477177034,0.13,0.09,1.77438772938665e-06,"Adrenal Gland_All_GW14","TSPAN3"
8.25277220783077e-11,-0.073561388587269,0.059,0.1,2.16783820355299e-06,"Adrenal Gland_All_GW14","HLA-C"
1.18339505919689e-10,0.0481314902326188,0.115,0.078,3.10854214149839e-06,"Adrenal Gland_All_GW14","ZNF207"
1.26769393039691e-10,-0.134981353418157,0.141,0.19,3.32997841636659e-06,"Adrenal Gland_All_GW14","CDKN1C"
